Storenumber	Fiscal Transaction Date	Fiscal Year	Fiscal Period	Fiscal Week	Orders
6014	10/3/16	2016	11	41	92
6014	10/4/16	2016	11	41	103
6014	10/5/16	2016	11	41	107
6014	10/6/16	2016	11	41	131
6014	10/7/16	2016	11	41	239
6014	10/8/16	2016	11	41	215
6014	10/9/16	2016	11	41	166
6014	10/10/16	2016	11	42	104
6014	10/11/16	2016	11	42	104
6014	10/12/16	2016	11	42	103
6014	10/13/16	2016	11	42	165
6014	10/14/16	2016	11	42	216
6014	10/15/16	2016	11	42	193
6014	10/16/16	2016	11	42	137
6014	10/17/16	2016	11	43	98
6014	10/18/16	2016	11	43	103
6014	10/19/16	2016	11	43	118
6014	10/20/16	2016	11	43	129
6014	10/21/16	2016	11	43	193
6014	10/22/16	2016	11	43	192
6014	10/23/16	2016	11	43	126
6014	10/24/16	2016	11	44	119
6014	10/25/16	2016	11	44	95
6014	10/26/16	2016	11	44	119
6014	10/27/16	2016	11	44	117
6014	10/28/16	2016	11	44	232
6014	10/29/16	2016	11	44	178
6014	10/30/16	2016	11	44	174
6014	10/31/16	2016	12	45	175
6014	11/1/16	2016	12	45	84
6014	11/2/16	2016	12	45	94
6014	11/3/16	2016	12	45	114
6014	11/4/16	2016	12	45	209
6014	11/5/16	2016	12	45	155
6014	11/6/16	2016	12	45	141
6014	11/7/16	2016	12	46	77
6014	11/8/16	2016	12	46	132
6014	11/9/16	2016	12	46	153
6014	11/10/16	2016	12	46	153
6014	11/11/16	2016	12	46	212
6014	11/12/16	2016	12	46	172
6014	11/13/16	2016	12	46	149
6014	11/14/16	2016	12	47	72
6014	11/15/16	2016	12	47	87
6014	11/16/16	2016	12	47	126
6014	11/17/16	2016	12	47	126
6014	11/18/16	2016	12	47	239
6014	11/19/16	2016	12	47	200
6014	11/20/16	2016	12	47	151
6014	11/21/16	2016	12	48	102
6014	11/22/16	2016	12	48	118
6014	11/23/16	2016	12	48	180
6014	11/25/16	2016	12	48	182
6014	11/26/16	2016	12	48	171
6014	11/27/16	2016	12	48	159
6014	11/28/16	2016	13	49	93
6014	11/29/16	2016	13	49	80
6014	11/30/16	2016	13	49	119
6014	12/1/16	2016	13	49	114
6014	12/2/16	2016	13	49	220
6014	12/3/16	2016	13	49	199
6014	12/4/16	2016	13	49	129
6014	12/5/16	2016	13	50	85
6014	12/6/16	2016	13	50	79
6014	12/7/16	2016	13	50	121
6014	12/8/16	2016	13	50	125
6014	12/9/16	2016	13	50	212
6014	12/10/16	2016	13	50	168
6014	12/11/16	2016	13	50	145
6014	12/12/16	2016	13	51	78
6014	12/13/16	2016	13	51	104
6014	12/14/16	2016	13	51	123
6014	12/15/16	2016	13	51	140
6014	12/16/16	2016	13	51	224
6014	12/17/16	2016	13	51	166
6014	12/18/16	2016	13	51	169
6014	12/19/16	2016	13	52	102
6014	12/20/16	2016	13	52	105
6014	12/21/16	2016	13	52	117
6014	12/22/16	2016	13	52	144
6014	12/23/16	2016	13	52	165
6014	12/24/16	2016	13	52	81
6014	12/25/16	2016	13	52	0
6014	12/26/16	2017	1	1	128
6014	12/27/16	2017	1	1	109
6014	12/28/16	2017	1	1	99
6014	12/29/16	2017	1	1	127
6014	12/30/16	2017	1	1	162
6014	12/31/16	2017	1	1	185
6014	1/1/17	2017	1	1	149
6014	1/2/17	2017	1	2	97
6014	1/3/17	2017	1	2	75
6014	1/4/17	2017	1	2	87
6014	1/5/17	2017	1	2	106
6014	1/6/17	2017	1	2	188
6014	1/7/17	2017	1	2	152
6014	1/8/17	2017	1	2	102
6014	1/9/17	2017	1	3	62
6014	1/10/17	2017	1	3	80
6014	1/11/17	2017	1	3	106
6014	1/12/17	2017	1	3	119
6014	1/13/17	2017	1	3	185
6014	1/14/17	2017	1	3	161
6014	1/15/17	2017	1	3	121
6014	1/16/17	2017	1	4	88
6014	1/17/17	2017	1	4	81
6014	1/18/17	2017	1	4	70
6014	1/19/17	2017	1	4	94
6014	1/20/17	2017	1	4	185
6014	1/21/17	2017	1	4	162
6014	1/22/17	2017	1	4	151
6014	1/23/17	2017	2	5	63
6014	1/24/17	2017	2	5	64
6014	1/25/17	2017	2	5	108
6014	1/26/17	2017	2	5	92
6014	1/27/17	2017	2	5	199
6014	1/28/17	2017	2	5	178
6014	1/29/17	2017	2	5	109
6014	1/30/17	2017	2	6	64
6014	1/31/17	2017	2	6	85
